"Id","Group","Key","en","ar"
"1","admin","dashboard.index","Dashboard","لوحة القيادة"
"2","admin","settings.translations.add","Add","إضافة"
"3","admin","accounts.index","Accounts","حسابات"
"4","admin","accounts.users.index","Users","المستخدمين"
"5","admin","accounts.users.add","Add","إضافة"
"6","admin","accounts.users.edit","Edit","تعديل"
"7","admin","accounts.roles.index","Roles","الأدوار"
"8","admin","accounts.roles.add","Add","إضافة"
"9","admin","accounts.roles.edit","Edit","تعديل"
"10","admin","accounts.roles.permissions","Permissions","أذونات"
"11","admin","table.add","Add","إضافة"
"12","admin","table.actions","Actions","أفعال"
"13","admin","table.search","Search","بحث"
"14","admin","table.id","ID","#"
"15","admin","table.user_id","User ID #","معرف المستخدم"
"16","admin","table.name","Name","اسم"
"17","admin","table.title","Title","عنوان"
"18","admin","table.email","Email","البريد الإلكتروني"
"19","admin","table.role","Role","وظيفة"
"20","admin","table.status","Status","الحالة"
"21","admin","table.guard_name","Guard Name","اسم الحارس"
"22","admin","table.total_permissions","Total Permissions","مجموع الأذونات"
"23","admin","table.user_roles","User Roles","أدوار المستخدمين"
"24","admin","table.first_name","First Name","الاسم الاول"
"25","admin","table.last_name","Last Name","الكنية"
"26","admin","table.gender","Gender","جنس"
"27","admin","table.birth_date","Birth Date","تاريخ الميلاد"
"28","admin","table.country","Country","بلد"
"29","admin","table.city","City","مدينة"
"30","admin","table.province","Province","المحافظة"
"31","admin","table.zip_code","Zip Code","الرمز البريدي"
"32","admin","table.address","Address","عنوان"
"33","admin","table.password","Password","كلمه السر"
"34","admin","table.password_confirmation","Password Confirmation","تأكيد كلمة المرور"
"35","admin","table.mobile_number","Mobile Number","رقم الهاتف المحمول"
"36","admin","table.phone_number","Phone Number","رقم الهاتف"
"37","admin","table.phone","Phone","هاتف"
"38","admin","table.mobile","Mobile","التليفون المحمول"
"39","admin","table.fax","Fax","فاكس"
"40","admin","table.website","Website","موقع الكتروني"
"41","admin","table.lang","Preferred Lang","اللغة المفضلة"
"42","admin","table.description","Description","وصف"
"43","admin","table.order","Order","ترقيم"
"44","admin","table.content","Content","محتوى"
"45","admin","table.position","Position","موضع"
"46","admin","table.price","Price","السعر"
"47","admin","table.service_time","Service Time","وقت الخدمة"
"48","admin","table.ends_at","Ends at","ينتهي عند"
"49","admin","table.starts_at","Starts at","يبدأ عند"
"50","admin","table.key","Key","مفتاح"
"51","admin","table.group","Group","مجموعة"
"52","admin","table.text","Text","نص"
"53","admin","form.create","Create","أحدث"
"54","admin","form.edit","Edit","تعديل"
"55","admin","form.cancel","Cancel","إلغاء"
"56","admin","notifications.data.updated_successfully","Data Was Updated Successfully","تم تحديث البيانات بنجاح"
"57","admin","notifications.data.created_successfully","Data Was Created Successfully","تم إنشاء البيانات بنجاح"
"58","admin","blogs.index","Blogs","المدونات"
"59","admin","blogs.edit","Edit","تعديل"
"60","admin","blogs.add","Add","إضافة"
"61","admin","auth.send_password_reset_link","Send password reset link","إرسال رابط إعادة تعيين كلمة المرور"
"62","admin","auth.sign_in","Sign In","تسجيل الدخول"
"63","admin","auth.forgot_password","? Forgot Password","هل نسيت كلمة المرور ؟"
"64","admin","auth.reset_password","Reset Password","إعادة ضبط كلمة المرور"
"65","admin","table.accept_terms","Accept Terms","قبول الشروط"
"66","admin","auth.already_have_an_account","Already have an account ?","هل لديك حساب ؟"
"67","admin","auth.sign_up","Sign Up","سجل"
"68","admin","table.like","Like","أعجبك أم لا"
"69","admin","table.avatar","Avatar","الصورة الرمزية"
"70","admin","form.change_avatar","Change Avatar","تغيير الصورة"
"71","admin","form.change","Change","تغيير"
"72","admin","table.type","Type","نوع"
"73","admin","settings.index","Settings","Settings"
"74","admin","table.app_name","App Name","App Name"
"75","admin","table.api_url","API Url","API Url"
"76","admin","table.site_url","Site Url","Site Url"
"77","admin","table.logo","Logo","Logo"
"78","admin","table.fav_icon","Favicon","Favicon"
"79","admin","table.MAIL_DRIVER","MAIL_DRIVER","MAIL_DRIVER"
"80","admin","table.MAIL_HOST","MAIL_HOST","MAIL_HOST"
"81","admin","table.MAIL_PORT","MAIL_PORT","MAIL_PORT"
"82","admin","table.MAIL_USERNAME","MAIL_USERNAME","MAIL_USERNAME"
"83","admin","table.MAIL_PASSWORD","MAIL_PASSWORD","MAIL_PASSWORD"
"84","admin","table.MAIL_ENCRYPTION","MAIL_ENCRYPTION","MAIL_ENCRYPTION"
"85","admin","table.CONTACT_MAIL","CONTACT_MAIL","CONTACT_MAIL"
"86","admin","table.USE_SOCKET_SERVER","USE_SOCKET_SERVER","USE_SOCKET_SERVER"
"87","admin","table.BROADCAST_DRIVER","BROADCAST_DRIVER","BROADCAST_DRIVER"
"88","admin","table.REDIS_HOST","REDIS_HOST","REDIS_HOST"
"89","admin","table.REDIS_PASSWORD","REDIS_PASSWORD","REDIS_PASSWORD"
"90","admin","table.REDIS_PORT","REDIS_PORT","REDIS_PORT"
"91","admin","table.primary_color","Primary Color","Primary Color"
"92","admin","table.secondary_color","Secondary Color","Secondary Color"
"93","admin","table.accent_color","Accent Color","Accent Color"
"94","admin","table.error_color","Error Color","Error Color"
"95","admin","table.info_color","Info Color","Info Color"
"96","admin","table.success_color","Success Color","Success Color"
"97","admin","table.warning_color","Warning Color","Warning Color"
"98","admin","table.default_language","Default Language","Default Language"
"99","admin","table.supported_languages","Supported Languages","Supported Languages"
"100","admin","settings.translations.index","Translations","Translations"
"101","admin","settings.translations.edit","Edit","Edit"
"102","admin","table.timezone","Timezone","Timezone"
"103","admin","table.login_bg","Login Background","Login Background"
"104","admin","table.from_address","From Address","From Address"
"105","admin","table.from_name","From Name","From Name"
"106","admin","table.enabled","Enabled","Enabled"
"107","admin","table.driver","Driver","Driver"
"108","admin","table.connection","Connection","Connection"
"109","admin","table.default","Default","Default"
"110","admin","table.secret","Secret","Secret"
"111","admin","table.app_id","App ID","App ID"
"112","admin","table.locale_language","Locale Language","Locale Language"
"113","admin","table.fallback_locale_language","Fallback Locale Language","Fallback Locale Language"
"114","admin","table.debug","Debug","Debug"
"115","admin","logs.index","System Logs",""
"116","admin","settings.general.index","General",""
"117","admin","backup.index","Backups",""
"118","admin","backups.index","Backups",""
"119","admin","categories.index","Categories",""
